path,class,domain,source,sport,framing,generator,license,attribution,split
backbone/real/backbone_0.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,train
backbone/fake/backbone_1.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,flux-1.1-pro,see source dataset card,,train
backbone/fake/backbone_2.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,stable-diffusion-v1-4,see source dataset card,,train
backbone/real/backbone_3.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,test
backbone/fake/backbone_6.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-3.5,see source dataset card,,train
backbone/fake/backbone_7.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sdxl-juggernaut,see source dataset card,,val
backbone/real/backbone_11.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,train
backbone/real/backbone_12.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,train
backbone/real/backbone_13.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,train
backbone/fake/backbone_14.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,flux.1-dev,see source dataset card,,train
backbone/real/backbone_15.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,train
backbone/fake/backbone_16.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,qwen-image,see source dataset card,,train
backbone/fake/backbone_17.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-3.5,see source dataset card,,val
backbone/fake/backbone_18.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sdxl,see source dataset card,,train
backbone/fake/backbone_19.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-1.5-dreamshaper,see source dataset card,,test
backbone/fake/backbone_20.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-3.5,see source dataset card,,train
backbone/fake/backbone_21.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,flux.2-dev,see source dataset card,,val
backbone/fake/backbone_22.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,anima-preview,see source dataset card,,train
backbone/fake/backbone_23.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,flux-amateursnapshotphotos,see source dataset card,,train
backbone/real/backbone_24.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,train
backbone/real/backbone_25.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,train
backbone/fake/backbone_27.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-3.5,see source dataset card,,train
backbone/real/backbone_29.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,train
backbone/real/backbone_30.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,val
backbone/fake/backbone_31.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,ideogram-3.0,see source dataset card,,test
backbone/fake/backbone_32.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,flux-mvc5000,see source dataset card,,test
backbone/real/backbone_33.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,train
backbone/fake/backbone_34.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sdxl,see source dataset card,,train
backbone/fake/backbone_35.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,flux.1-schnell,see source dataset card,,train
backbone/real/backbone_36.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,val
backbone/fake/backbone_37.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-2.1,see source dataset card,,val
backbone/fake/backbone_38.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,grok-2-image-1212,see source dataset card,,train
backbone/fake/backbone_39.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,hidream-i1-full,see source dataset card,,test
backbone/fake/backbone_40.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-3.5,see source dataset card,,train
backbone/fake/backbone_41.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,imagen-4.0,see source dataset card,,train
backbone/fake/backbone_42.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-3.5,see source dataset card,,val
backbone/fake/backbone_43.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,mystic,see source dataset card,,val
backbone/real/backbone_45.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,test
backbone/real/backbone_46.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,train
backbone/real/backbone_47.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,val
backbone/real/backbone_48.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,train
backbone/fake/backbone_49.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,flux.1-dev,see source dataset card,,train
backbone/fake/backbone_50.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,gpt-image-1,see source dataset card,,train
backbone/real/backbone_51.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,test
backbone/fake/backbone_52.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,chroma,see source dataset card,,train
backbone/real/backbone_53.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,train
backbone/fake/backbone_54.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-2.1,see source dataset card,,train
backbone/fake/backbone_55.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,animagine-xl-4.0,see source dataset card,,train
backbone/real/backbone_58.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,train
backbone/fake/backbone_59.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,seedream-v4.0,see source dataset card,,test
backbone/fake/backbone_60.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,flux-1.1-pro,see source dataset card,,train
backbone/fake/backbone_61.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-3.5,see source dataset card,,val
backbone/real/backbone_62.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,train
backbone/real/backbone_64.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,train
backbone/fake/backbone_65.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-1.5-dreamshaper,see source dataset card,,train
backbone/fake/backbone_66.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,flux.1-dev,see source dataset card,,train
backbone/real/backbone_67.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,train
