path,class,domain,source,sport,framing,generator,license,attribution,split,original_path
normalized/fake/backbone_1.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,dalle-3,see source dataset card,,train,backbone/fake/backbone_1.jpg
normalized/fake/backbone_2.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-2.1,see source dataset card,,train,backbone/fake/backbone_2.jpg
normalized/real/backbone_3.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,test,backbone/real/backbone_3.jpg
normalized/real/backbone_4.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,train,backbone/real/backbone_4.jpg
normalized/real/backbone_5.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,train,backbone/real/backbone_5.jpg
normalized/fake/backbone_7.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-1.5,see source dataset card,,val,backbone/fake/backbone_7.jpg
normalized/fake/backbone_8.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-2.1,see source dataset card,,train,backbone/fake/backbone_8.jpg
normalized/fake/backbone_9.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,midjourney-6,see source dataset card,,val,backbone/fake/backbone_9.jpg
normalized/real/backbone_10.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,train,backbone/real/backbone_10.jpg
normalized/fake/backbone_11.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,gpt-image-1,see source dataset card,,train,backbone/fake/backbone_11.jpg
normalized/real/backbone_12.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,train,backbone/real/backbone_12.jpg
normalized/fake/backbone_13.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,flux.1-dev,see source dataset card,,train,backbone/fake/backbone_13.jpg
normalized/fake/backbone_14.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,animagine-xl-3.1,see source dataset card,,train,backbone/fake/backbone_14.jpg
normalized/fake/backbone_16.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sdxl-touchofrealism,see source dataset card,,train,backbone/fake/backbone_16.jpg
normalized/real/backbone_18.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,train,backbone/real/backbone_18.jpg
normalized/real/backbone_19.jpg,real,general,hf:ComplexDataLab/OpenFake,,,laion,see source dataset card,,test,backbone/real/backbone_19.jpg
normalized/fake/backbone_21.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sdxl-realvis-v5,see source dataset card,,val,backbone/fake/backbone_21.jpg
normalized/fake/backbone_22.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-3.5,see source dataset card,,train,backbone/fake/backbone_22.jpg
normalized/real/backbone_24.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,train,backbone/real/backbone_24.jpg
normalized/real/backbone_25.jpg,real,general,hf:ComplexDataLab/OpenFake,,,pexels,see source dataset card,,train,backbone/real/backbone_25.jpg
normalized/fake/backbone_26.jpg,fake,general,hf:ComplexDataLab/OpenFake,,,sd-3.5,see source dataset card,,test,backbone/fake/backbone_26.jpg
